Tournament,Date,Surface,Round,player_0,player_0_rank,player_0_odd,player_1,player_1_rank,player_1_odd,outcome,player_0_match_win_percent,player_1_match_win_percent,player_0_games_win_percent,player_1_games_win_percent,player_0_5_set_match_win_percent,player_1_5_set_match_win_percent,player_0_close_sets_percent,player_1_close_sets_percent,player_0_match_win_percent_clay,player_1_match_win_percent_clay,player_0_games_win_percent_clay,player_1_games_win_percent_clay,player_0_5_set_match_win_percent_clay,player_1_5_set_match_win_percent_clay,player_0_close_sets_percent_clay,player_1_close_sets_percent_clay,player_0_match_win_percent_52,player_1_match_win_percent_52,player_0_games_win_percent_52,player_1_games_win_percent_52,player_0_5_set_match_win_percent_52,player_1_5_set_match_win_percent_52,player_0_close_sets_percent_52,player_1_close_sets_percent_52,player_0_match_win_percent_clay_60,player_1_match_win_percent_clay_60,player_0_games_win_percent_clay_60,player_1_games_win_percent_clay_60,player_0_5_set_match_win_percent_clay_60,player_1_5_set_match_win_percent_clay_60,player_0_close_sets_percent_clay_60,player_1_close_sets_percent_clay_60,player_0_match_win_percent_hh,player_1_match_win_percent_hh,player_0_games_win_percent_hh,player_1_games_win_percent_hh,player_0_match_win_percent_clay_hh,player_1_match_win_percent_clay_hh,player_0_games_win_percent_clay_hh,player_1_games_win_percent_clay_hh,diff_match_win_percent,diff_games_win_percent,diff_5_set_match_win_percent,diff_close_sets_percent,diff_match_win_percent_clay,diff_games_win_percent_clay,diff_5_set_match_win_percent_clay,diff_close_sets_percent_clay,diff_match_win_percent_52,diff_games_win_percent_52,diff_5_set_match_win_percent_52,diff_close_sets_percent_52,diff_match_win_percent_clay_60,diff_games_win_percent_clay_60,diff_5_set_match_win_percent_clay_60,diff_close_sets_percent_clay_60,diff_match_win_percent_hh,diff_games_win_percent_hh,diff_match_win_percent_clay_hh,diff_games_win_percent_clay_hh
French Open,2005/05/23,Clay,1st Round,Armando H.,152.0,0.0,Vicente F.,155.0,0.0,1,0.0,0.0,0.29411764705882354,0.4090909090909091,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.29411764705882354,0.4090909090909091,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11497326203208558,0.0,-0.3333333333333333,0.0,-0.4090909090909091,0.0,-0.3333333333333333,0.0,-0.11497326203208558,0.0,-0.3333333333333333,0.0,-0.4090909090909091,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0
French Open,2005/05/23,Clay,1st Round,Hrbaty D.,20.0,1.12,Tipsarevic J.,107.0,5.5,1,0.56,0.375,0.5150442477876106,0.48095238095238096,0.75,0.5,0.4578313253012048,0.42857142857142855,0.6363636363636364,0.3333333333333333,0.5238095238095238,0.4406779661016949,0.0,0.0,0.42424242424242425,0.3333333333333333,0.56,0.375,0.5150442477876106,0.48095238095238096,0.75,0.5,0.4578313253012048,0.42857142857142855,0.6363636363636364,0.3333333333333333,0.5238095238095238,0.4406779661016949,0.0,0.0,0.42424242424242425,0.3333333333333333,1.0,0.0,0.5476190476190477,0.4523809523809524,1.0,0.0,0.5476190476190477,0.4523809523809524,0.18500000000000005,0.034091866835229634,0.25,0.029259896729776247,0.30303030303030304,0.08313155770782893,0.0,0.09090909090909094,0.18500000000000005,0.034091866835229634,0.25,0.029259896729776247,0.30303030303030304,0.08313155770782893,0.0,0.09090909090909094,1.0,0.09523809523809529,1.0,0.09523809523809529
French Open,2005/05/23,Clay,1st Round,Grosjean S.,24.0,1.53,Monaco J.,60.0,2.37,0,0.5789473684210527,0.48,0.527027027027027,0.48226950354609927,0.5,0.0,0.4918032786885246,0.45454545454545453,0.7,0.55,0.5391304347826087,0.49195402298850577,0.0,0.0,0.5333333333333333,0.48333333333333334,0.5789473684210527,0.48,0.527027027027027,0.48226950354609927,0.5,0.0,0.4918032786885246,0.45454545454545453,0.7,0.55,0.5391304347826087,0.49195402298850577,0.0,0.0,0.5333333333333333,0.48333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09894736842105267,0.04475752348092771,0.5,0.03725782414307005,0.1499999999999999,0.047176411794102924,0.0,0.04999999999999999,0.09894736842105267,0.04475752348092771,0.5,0.03725782414307005,0.1499999999999999,0.047176411794102924,0.0,0.04999999999999999,0.0,0.0,0.0,0.0
French Open,2005/05/23,Clay,1st Round,Moya C.,15.0,1.33,Martin A.,56.0,3.25,0,0.625,0.5517241379310345,0.5253682487725041,0.49759229534510435,0.0,0.0,0.581081081081081,0.47191011235955055,0.5833333333333334,0.6363636363636364,0.5400696864111498,0.524731182795699,0.0,0.0,0.5833333333333334,0.5454545454545454,0.625,0.5517241379310345,0.5253682487725041,0.49759229534510435,0.0,0.0,0.581081081081081,0.47191011235955055,0.5833333333333334,0.6363636363636364,0.5400696864111498,0.524731182795699,0.0,0.0,0.5833333333333334,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07327586206896552,0.027775953427399747,0.0,0.10917096872153048,-0.05303030303030298,0.01533850361545086,0.0,0.037878787878787956,0.07327586206896552,0.027775953427399747,0.0,0.10917096872153048,-0.05303030303030298,0.01533850361545086,0.0,0.037878787878787956,0.0,0.0,0.0,0.0
French Open,2005/05/23,Clay,1st Round,Ancic M.,18.0,1.11,Daniel M.,197.0,6.0,0,0.6333333333333333,0.0,0.5488505747126436,0.0,0.6666666666666666,0.0,0.5520833333333334,0.0,0.5,0.0,0.5149700598802395,0.0,0.0,0.0,0.4583333333333333,0.0,0.6333333333333333,0.0,0.5488505747126436,0.0,0.6666666666666666,0.0,0.5520833333333334,0.0,0.5,0.0,0.5149700598802395,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.5488505747126436,0.6666666666666666,0.5520833333333334,0.5,0.5149700598802395,0.0,0.4583333333333333,0.6333333333333333,0.5488505747126436,0.6666666666666666,0.5520833333333334,0.5,0.5149700598802395,0.0,0.4583333333333333,0.0,0.0,0.0,0.0
French Open,2005/05/23,Clay,1st Round,Stepanek R.,17.0,1.07,Srichaphan P.,36.0,7.5,0,0.6388888888888888,0.43478260869565216,0.5168661588683352,0.4810126582278481,0.6666666666666666,0.5,0.5789473684210527,0.4383561643835616,0.6923076923076923,0.25,0.5349544072948328,0.44936708860759494,0.0,0.0,0.6410256410256411,0.3333333333333333,0.6388888888888888,0.43478260869565216,0.5168661588683352,0.4810126582278481,0.6666666666666666,0.5,0.5789473684210527,0.4383561643835616,0.6923076923076923,0.25,0.5349544072948328,0.44936708860759494,0.0,0.0,0.6410256410256411,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20410628019323668,0.03585350064048709,0.16666666666666663,0.14059120403749104,0.4423076923076923,0.08558731868723785,0.0,0.30769230769230776,0.20410628019323668,0.03585350064048709,0.16666666666666663,0.14059120403749104,0.4423076923076923,0.08558731868723785,0.0,0.30769230769230776,0.0,0.0,0.0,0.0
French Open,2005/05/23,Clay,1st Round,Kim K.,68.0,2.5,Vik R.,145.0,1.5,1,0.5238095238095238,0.0,0.5028462998102466,0.0,0.6666666666666666,0.0,0.5217391304347826,0.0,0.3333333333333333,0.0,0.47761194029850745,0.0,0.0,0.0,0.4444444444444444,0.0,0.5238095238095238,0.0,0.5028462998102466,0.0,0.6666666666666666,0.0,0.5217391304347826,0.0,0.3333333333333333,0.0,0.47761194029850745,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,0.5028462998102466,0.6666666666666666,0.5217391304347826,0.3333333333333333,0.47761194029850745,0.0,0.4444444444444444,0.5238095238095238,0.5028462998102466,0.6666666666666666,0.5217391304347826,0.3333333333333333,0.47761194029850745,0.0,0.4444444444444444,0.0,0.0,0.0,0.0
French Open,2005/05/23,Clay,1st Round,Federer R.,1.0,1.0,Sela D.,264.0,21.0,0,0.9523809523809523,0.0,0.6171259842519685,0.0,0.875,0.0,0.6971830985915493,0.0,0.9,0.0,0.6079295154185022,0.0,0.0,0.0,0.6875,0.0,0.9523809523809523,0.0,0.6171259842519685,0.0,0.875,0.0,0.6971830985915493,0.0,0.9,0.0,0.6079295154185022,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.6171259842519685,0.875,0.6971830985915493,0.9,0.6079295154185022,0.0,0.6875,0.9523809523809523,0.6171259842519685,0.875,0.6971830985915493,0.9,0.6079295154185022,0.0,0.6875,0.0,0.0,0.0,0.0
French Open,2005/05/23,Clay,1st Round,Nadal R.,5.0,1.0,Burgsmuller L.,96.0,21.0,0,0.8888888888888888,0.18181818181818182,0.6180094786729858,0.3698630136986301,0.75,0.0,0.6688741721854304,0.17142857142857143,0.9375,0.16666666666666666,0.6398243045387995,0.3557692307692308,1.0,0.0,0.6764705882352942,0.16666666666666666,0.8888888888888888,0.18181818181818182,0.6180094786729858,0.3698630136986301,0.75,0.0,0.6688741721854304,0.17142857142857143,0.9375,0.16666666666666666,0.6398243045387995,0.3557692307692308,1.0,0.0,0.6764705882352942,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707070707070707,0.24814646497435572,0.75,0.497445600756859,0.7708333333333334,0.2840550737695687,1.0,0.5098039215686275,0.707070707070707,0.24814646497435572,0.75,0.497445600756859,0.7708333333333334,0.2840550737695687,1.0,0.5098039215686275,0.0,0.0,0.0,0.0
French Open,2005/05/23,Clay,1st Round,Sanguinetti D.,66.0,1.57,Ascione T.,144.0,2.25,0,0.4444444444444444,0.3333333333333333,0.48201438848920863,0.43103448275862066,0.0,0.0,0.44642857142857145,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.5,0.43103448275862066,0.0,0.0,0.48148148148148145,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.48201438848920863,0.43103448275862066,0.0,0.0,0.44642857142857145,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.5,0.43103448275862066,0.0,0.0,0.48148148148148145,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.05097990573058797,0.0,0.11309523809523814,0.22222222222222227,0.06896551724137934,0.0,0.14814814814814814,0.1111111111111111,0.05097990573058797,0.0,0.11309523809523814,0.22222222222222227,0.06896551724137934,0.0,0.14814814814814814,0.0,0.0,0.0,0.0
